provnum,msr_cd,msr_descr,avg_value,ownership,inhosp,adj_total,adj_rn
345091,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.8,"Non profit - Corporation",NO,4.70692,0.77959
345092,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.4,"For profit - Corporation",NO,3.55104,0.37039
345093,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"Non profit - Corporation",NO,5.39063,0.60487
345095,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.8,"Non profit - Corporation",YES,5.21147,0.6847
345096,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.4,"Non profit - Corporation",NO,3.86432,0.5886
345097,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"Non profit - Other",YES,3.7989,0.81756
345101,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.5,"For profit - Corporation",NO,3.04052,0.29684
345102,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.4,"For profit - Corporation",NO,3.79875,0.42954
345103,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3,"For profit - Individual",NO,4.27486,0.3995
15104,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.3,"For profit - Corporation",NO,3.12938,0.35829
345104,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1,"For profit - Corporation",NO,3.64073,0.48877
345105,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.9,"For profit - Corporation",NO,3.15492,0.61052
345106,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"Non profit - Church related",NO,4.52428,0.60455
345109,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"Non profit - Corporation",NO,4.19398,0.49097
345110,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.9,"For profit - Corporation",NO,3.78836,0.64839
345111,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.6,"Non profit - Church related",NO,4.45089,0.46663
345113,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.2,"For profit - Corporation",NO,3.57839,0.39938
345115,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.1,"For profit - Corporation",NO,3.3679,0.25516
345116,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.9,"For profit - Corporation",NO,3.70821,0.475
345119,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",17.8,"For profit - Corporation",NO,5.56823,0.4328
15109,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.9,"For profit - Corporation",NO,3.94122,0.35684
345124,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"For profit - Corporation",NO,3.01765,0.50912
345126,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13,"For profit - Corporation",NO,2.53244,0.21602
345127,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.89972,0.36851
345128,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.7,"For profit - Corporation",NO,3.13521,0.33086
345129,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.9,"For profit - Corporation",NO,3.40871,0.35755
345130,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"For profit - Corporation",NO,3.31797,0.41236
345131,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"For profit - Corporation",NO,4.00943,0.366
345132,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.8,"For profit - Corporation",NO,3.73248,0.22744
345133,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.3,"For profit - Corporation",NO,3.41043,0.6825
15111,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.7,"For profit - Corporation",NO,3.41396,0.46762
345134,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,3.30334,0.46805
345137,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.8,"For profit - Corporation",NO,3.74247,0.30876
345138,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.6,"For profit - Corporation",NO,3.07676,0.27374
345140,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Corporation",NO,4.7158,0.78796
345142,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.6,"For profit - Corporation",NO,3.60769,0.37919
345143,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.8,"For profit - Corporation",NO,3.00153,0.28424
345144,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"For profit - Corporation",NO,3.90466,0.6331
345145,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.2,"For profit - Corporation",NO,3.1544,0.28041
345146,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.5,"For profit - Corporation",NO,3.97176,0.34385
345148,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"Non profit - Church related",NO,6.85286,1.02383
15112,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.4,"For profit - Corporation",NO,3.92181,0.37704
345150,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.6,"For profit - Corporation",NO,3.09368,0.25945
345151,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.3,"For profit - Corporation",NO,3.53578,0.40154
345152,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"Non profit - Corporation",NO,5.79577,0.68985
345153,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"Non profit - Church related",NO,5.19622,0.68752
345155,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.9,"For profit - Corporation",NO,3.14694,0.36791
345156,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"For profit - Corporation",NO,3.29472,0.51294
345159,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.8,"For profit - Corporation",NO,3.48203,0.34714
345160,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"Non profit - Corporation",NO,4.28595,0.63808
345161,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.7,"Non profit - Corporation",NO,4.82607,0.8496
15113,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.7,"For profit - Corporation",NO,3.55971,0.67113
345162,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.1,"For profit - Partnership",NO,2.85669,0.37783
345163,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Individual",NO,6.56899,0.58324
345164,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.4,"For profit - Corporation",NO,3.32272,0.40842
345165,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"For profit - Corporation",NO,3.85396,0.58095
345166,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.8,"For profit - Corporation",YES,3.58262,0.52611
345167,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,4.8837,0.28242
345168,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.33265,0.44951
345169,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.5,"For profit - Corporation",NO,3.10176,0.28532
345170,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.8,"For profit - Corporation",NO,2.84187,0.26925
345171,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.79951,0.37465
15114,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.3,"For profit - Corporation",NO,4.46699,0.82064
345172,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.9,"For profit - Corporation",NO,2.98913,0.43822
345173,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",18.9,"For profit - Corporation",NO,3.01435,0.26867
345174,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.6,"For profit - Corporation",NO,3.86312,0.66068
345175,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,3.35462,0.48095
345177,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.6,"For profit - Corporation",NO,3.25052,0.48615
345179,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.7,"For profit - Corporation",NO,3.18443,0.41354
345181,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.6,"For profit - Corporation",NO,3.26306,0.25395
345182,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.1,"For profit - Corporation",NO,3.4917,0.70025
345183,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.5,"For profit - Corporation",NO,3.31643,0.20928
15115,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.4,"For profit - Corporation",NO,4.03474,0.35246
345184,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.5,"For profit - Corporation",NO,3.05695,0.31848
345185,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",17.7,"For profit - Corporation",NO,3.87836,0.34996
345186,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"For profit - Corporation",NO,3.91559,0.30995
345187,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.3,"Non profit - Corporation",NO,4.19874,0.74593
345190,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.6,"Non profit - Other",YES,4.15151,0.71864
345191,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.4,"For profit - Corporation",NO,3.59956,0.34349
345192,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.5,"Government - State",NO,6.79895,1.26722
345193,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Corporation",NO,2.81916,0.4622
345194,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"Non profit - Corporation",NO,5.38174,0.43907
345195,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.4,"For profit - Corporation",NO,3.67087,0.54468
15116,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.1,"For profit - Corporation",NO,4.60609,0.75801
345196,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.8,"Non profit - Corporation",NO,4.433,0.70638
345197,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.5,"For profit - Corporation",NO,4.98621,0.43739
345198,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.4,"Non profit - Corporation",NO,3.65061,0.81683
345201,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.7,"For profit - Corporation",NO,3.5652,0.44727
345202,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4,"For profit - Corporation",NO,2.46647,0.34017
345203,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.1,"Non profit - Corporation",NO,3.17643,0.23884
345204,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.9,"For profit - Corporation",NO,3.48882,0.61754
345205,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.5,"For profit - Corporation",NO,3.33103,0.58436
345206,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"For profit - Corporation",NO,4.0686,0.72124
15117,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.5,"For profit - Corporation",NO,3.8985,0.37368
345207,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.4,"For profit - Corporation",NO,3.39418,0.35452
345208,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.8,"For profit - Limited Liability company",NO,2.98797,0.69801
345210,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"Non profit - Corporation",NO,3.24087,0.33331
345211,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.5,"For profit - Corporation",NO,3.36005,0.50319
345212,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Corporation",NO,3.34201,0.15393
345213,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.9,"For profit - Corporation",NO,2.53721,0.29036
345215,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.4,"For profit - Corporation",NO,3.55586,0.33917
345216,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,3.9575,0.39724
345217,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"For profit - Corporation",NO,3.2599,0.33924
15119,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.1,"For profit - Corporation",NO,3.69129,0.36242
345218,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.2,"For profit - Corporation",NO,3.16874,0.33069
345219,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"For profit - Corporation",NO,3.91944,0.50751
345221,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.2,"For profit - Corporation",NO,3.02571,0.48835
345222,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.4,"For profit - Corporation",NO,3.28295,0.4663
345223,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.4,"For profit - Corporation",NO,3.2887,0.39806
345225,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,3.17693,0.42341
345226,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.3,"For profit - Corporation",NO,2.90052,0.47011
345227,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,3.51348,0.43836
345228,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"For profit - Corporation",NO,3.91069,0.44149
345229,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.6,"For profit - Corporation",NO,3.2982,0.4502
15120,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4,"For profit - Corporation",NO,3.56339,0.77479
345232,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.2,"For profit - Corporation",NO,3.07797,0.24771
345233,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"Non profit - Corporation",NO,4.01936,0.40765
345234,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.1,"For profit - Corporation",NO,3.81428,0.49153
345235,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"Non profit - Church related",NO,4.47894,0.85003
345236,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.7,"For profit - Corporation",NO,3.73777,0.42061
345237,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,3.29158,0.35373
345238,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.1,"For profit - Corporation",NO,4.38042,0.52492
345240,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"For profit - Individual",NO,4.50816,0.40754
345241,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.9,"For profit - Corporation",NO,3.19249,0.28549
15121,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Corporation",NO,1.74212,0.60625
345243,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.4,"For profit - Corporation",NO,3.61677,0.43909
345244,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.6,"For profit - Corporation",NO,3.6153,0.35508
345245,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.8,"Non profit - Other",YES,3.97163,0.49534
345246,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"For profit - Corporation",NO,3.72961,0.55844
345247,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.4,"For profit - Corporation",NO,3.58897,0.48822
345249,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.6,"Non profit - Other",YES,3.62321,0.4754
345250,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.5,"For profit - Corporation",NO,3.78778,0.41971
345252,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3,"For profit - Corporation",NO,5.53259,0.60868
345253,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"For profit - Corporation",NO,3.22091,0.54086
345254,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.4,"For profit - Corporation",NO,3.18659,0.28725
15123,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"Government - County",YES,5.08083,0.50063
345255,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2,"For profit - Corporation",NO,4.26857,0.53224
345258,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.5,"For profit - Corporation",NO,3.58164,0.5024
345260,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"For profit - Corporation",NO,3.18711,0.32872
345261,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.4,"For profit - Corporation",NO,2.78349,0.34123
345262,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.4,"For profit - Corporation",NO,2.77361,0.18447
345263,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.4,"For profit - Corporation",NO,3.88256,0.46537
345264,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2,"Non profit - Corporation",NO,4.18577,0.57588
345265,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.5,"For profit - Corporation",NO,3.28131,0.48428
345266,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.1,"For profit - Corporation",NO,2.93666,0.29658
345267,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.4,"For profit - Corporation",NO,4.11732,0.46671
15124,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.7,"Non profit - Other",YES,4.86818,0.7608
345268,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.9,"For profit - Corporation",NO,4.43474,0.57555
345269,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.4,"For profit - Corporation",NO,3.07026,0.25992
345270,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"For profit - Corporation",NO,3.09018,0.52184
345273,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",16.7,"For profit - Corporation",YES,3.87656,0.94691
345277,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.1,"For profit - Corporation",NO,2.6384,0.35154
345278,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.2,"Government - Hospital district",YES,3.1162,0.38682
345279,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.1,"For profit - Corporation",NO,6.30412,0.32628
345280,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.2,"For profit - Corporation",NO,4.07842,0.37459
345281,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3,"Non profit - Corporation",NO,4.46233,0.46384
345282,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.9,"Non profit - Corporation",NO,3.41633,0.37821
345283,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"For profit - Corporation",NO,3.3915,0.41695
345284,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,3.2934,0.22658
345285,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.9,"For profit - Individual",NO,2.64613,0.24749
345286,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.4,"For profit - Corporation",NO,2.98067,0.33484
345288,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.8,"For profit - Corporation",NO,2.76538,0.34626
345289,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"Non profit - Corporation",NO,3.31195,0.48697
345291,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7,"For profit - Individual",NO,3.77145,0.19327
345292,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.5,"For profit - Corporation",NO,3.21838,0.42549
345293,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.5,"For profit - Corporation",NO,4.22568,0.4551
345294,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Corporation",NO,3.9182,0.42905
15127,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.5,"For profit - Corporation",NO,3.5575,0.51275
345296,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.3,"For profit - Corporation",NO,3.10575,0.52784
345297,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"Non profit - Corporation",NO,5.43826,0.43887
345298,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.8,"For profit - Corporation",NO,4.03495,0.36226
345301,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.8,"For profit - Corporation",NO,4.24217,0.57257
345302,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.2,"For profit - Corporation",NO,3.0585,0.40118
345303,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.9,"For profit - Corporation",NO,4.1939,0.48564
345304,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.6,"For profit - Corporation",NO,3.22738,0.53839
345305,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10,"Non profit - Corporation",NO,3.97645,0.47429
345307,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"For profit - Corporation",NO,3.51743,0.55786
15128,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.4,"For profit - Partnership",NO,3.64602,0.61271
345309,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.5,"For profit - Corporation",NO,3.90457,1.071
345310,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"Non profit - Church related",NO,3.74353,0.536
345311,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9,"For profit - Corporation",NO,2.95873,0.25433
345312,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.4,"For profit - Corporation",NO,2.98884,0.56627
345313,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"For profit - Corporation",NO,3.43687,0.41299
345314,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.5,"For profit - Corporation",NO,4.45109,0.32646
345315,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,3.63855,0.32436
345316,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.1,"For profit - Corporation",NO,5.37721,0.26164
345317,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.1,"For profit - Corporation",NO,3.33698,0.53492
345318,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.6,"For profit - Partnership",NO,3.46499,0.24615
15129,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.9,"For profit - Corporation",NO,3.57038,0.33629
345319,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,3.39489,0.30614
345321,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7,"For profit - Corporation",NO,3.93403,0.31134
345322,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"For profit - Corporation",NO,4.22194,0.50036
345323,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"For profit - Corporation",NO,2.77133,0.4867
345325,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9,"For profit - Corporation",NO,3.50225,0.36963
345328,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"For profit - Corporation",NO,4.76594,0.88136
345329,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4,"For profit - Corporation",NO,3.29864,0.38628
345330,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.9,"For profit - Corporation",NO,4.82584,0.48161
345331,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"Non profit - Other",NO,3.75456,0.62217
15131,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.2,"For profit - Corporation",NO,3.89525,0.46109
345332,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.5,"For profit - Corporation",NO,3.36754,0.40431
345333,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1,"For profit - Corporation",NO,3.09239,0.62762
345335,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.4,"For profit - Corporation",NO,3.69412,0.39716
345336,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Corporation",NO,3.75311,0.31448
345337,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.3,"For profit - Individual",NO,3.36406,0.45314
345339,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",17.9,"For profit - Corporation",NO,2.55063,0.28323
345340,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"For profit - Corporation",NO,3.37273,0.41906
345341,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Corporation",NO,4.05425,0.72756
345342,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.2,"For profit - Corporation",NO,3.43205,0.42578
345343,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.8,"For profit - Corporation",NO,3.68191,0.46148
15132,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.34283,0.50208
345344,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7,"For profit - Corporation",NO,3.06073,0.3157
345345,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.8,"For profit - Corporation",NO,4.1038,0.54595
345348,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.2,"For profit - Corporation",NO,3.63375,0.23762
345349,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",15.6,"For profit - Corporation",NO,3.56893,0.4564
345350,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.9,"For profit - Corporation",NO,2.26232,0.27905
345351,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"For profit - Corporation",NO,2.71309,0.31229
345353,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.9,"For profit - Partnership",NO,4.36508,0.43741
345354,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,4.17767,0.53697
345355,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.7,"For profit - Corporation",NO,3.95325,0.53367
345356,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Partnership",NO,3.40506,0.3607
15133,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.5,"For profit - Corporation",NO,3.51975,0.50726
345357,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.5,"For profit - Corporation",NO,3.23383,0.54266
345358,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.3,"For profit - Corporation",NO,4.31252,0.29151
345359,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.4,"For profit - Corporation",NO,3.02357,0.32683
345362,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.3,"For profit - Corporation",NO,2.91235,0.30294
345363,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"Non profit - Corporation",NO,5.21525,0.35718
345365,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.9,"For profit - Corporation",NO,2.83774,0.36018
345366,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.4,"For profit - Corporation",NO,3.9127,0.42751
345367,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.2,"For profit - Corporation",NO,2.37917,0.20069
345369,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"Non profit - Corporation",NO,3.99303,0.64377
345370,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.3,"For profit - Corporation",NO,4.09852,0.24513
15134,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"For profit - Partnership",NO,3.72495,0.38587
345371,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.2,"For profit - Corporation",NO,3.53253,0.67881
