provider_id,hospital_ownership,emergency_services,cpcd,pecd,hsbp,readmission,c_diff_compared
160033,"Voluntary non-profit - Other",Yes,67.5,34,0.97,14,"Better than the U.S. National Benchmark"
160057,"Voluntary non-profit - Private",Yes,69.09,41,0.89,15,"Better than the U.S. National Benchmark"
160064,"Voluntary non-profit - Church",Yes,54.17,33,0.93,16,"Better than the U.S. National Benchmark"
160067,"Voluntary non-profit - Church",Yes,67.27,48,0.95,15,"Better than the U.S. National Benchmark"
170006,"Voluntary non-profit - Private",Yes,44,56,0.95,14,"Better than the U.S. National Benchmark"
170049,"Voluntary non-profit - Private",Yes,48.33,50,1,15,"Better than the U.S. National Benchmark"
170086,"Voluntary non-profit - Private",Yes,77.5,42,0.99,16,"Better than the U.S. National Benchmark"
170122,"Voluntary non-profit - Church",Yes,65.83,16,1,15,"Worse than the U.S. National Benchmark"
180001,"Voluntary non-profit - Private",Yes,64,39,0.95,17,"Worse than the U.S. National Benchmark"
180002,"Voluntary non-profit - Other",Yes,40,83,0.93,18,"Better than the U.S. National Benchmark"
180013,"Voluntary non-profit - Private",Yes,31.67,40,1.02,17,"Better than the U.S. National Benchmark"
180017,"Voluntary non-profit - Other",Yes,58.18,51,0.98,16,"Better than the U.S. National Benchmark"
180036,"Voluntary non-profit - Private",Yes,30,71,0.92,16,"Better than the U.S. National Benchmark"
180038,"Voluntary non-profit - Private",Yes,57.5,47,0.95,14,"Better than the U.S. National Benchmark"
180044,"Voluntary non-profit - Private",Yes,95,83,0.95,17,"Worse than the U.S. National Benchmark"
180048,"Voluntary non-profit - Other",Yes,55.45,44,0.97,16,"Worse than the U.S. National Benchmark"
180050,"Voluntary non-profit - Other",Yes,86,33,0.91,20,"Better than the U.S. National Benchmark"
180067,"Government - State",Yes,77.5,58,1,18,"Better than the U.S. National Benchmark"
180070,"Voluntary non-profit - Other",Yes,62,62,1,17,"Worse than the U.S. National Benchmark"
180130,"Voluntary non-profit - Private",Yes,57.5,43,0.99,14,"Worse than the U.S. National Benchmark"
180132,Proprietary,Yes,59.17,11,1,17,"Better than the U.S. National Benchmark"
190002,"Voluntary non-profit - Private",Yes,46.67,90,1.01,17,"Better than the U.S. National Benchmark"
190007,"Government - Hospital District or Authority",Yes,33,26,1.18,16,"Better than the U.S. National Benchmark"
190008,"Government - Hospital District or Authority",Yes,68.33,49,0.98,16,"Better than the U.S. National Benchmark"
190011,"Government - State",Yes,24,34,0.92,17,"Better than the U.S. National Benchmark"
190014,Proprietary,No,66,33,1.07,18,"Better than the U.S. National Benchmark"
190015,"Government - Hospital District or Authority",Yes,27.5,37,1.13,17,"Better than the U.S. National Benchmark"
190019,"Voluntary non-profit - Church",Yes,45,32,1.04,15,"Better than the U.S. National Benchmark"
190020,"Government - Hospital District or Authority",Yes,58.18,60,1.05,18,"Better than the U.S. National Benchmark"
190026,"Voluntary non-profit - Other",Yes,78.33,25,1.06,16,"Better than the U.S. National Benchmark"
190027,"Voluntary non-profit - Private",Yes,60,27,1.04,16,"Better than the U.S. National Benchmark"
190040,"Government - Hospital District or Authority",Yes,61.67,36,1.01,16,"Better than the U.S. National Benchmark"
190041,"Voluntary non-profit - Church",Yes,30.91,36,1.07,15,"Better than the U.S. National Benchmark"
190046,"Voluntary non-profit - Private",Yes,55,28,1.01,14,"Better than the U.S. National Benchmark"
190060,"Voluntary non-profit - Private",Yes,32.5,51,0.99,17,"Better than the U.S. National Benchmark"
190079,"Government - Hospital District or Authority",Yes,43.75,60,1.01,17,"Better than the U.S. National Benchmark"
190098,"Voluntary non-profit - Private",Yes,42.73,45,0.96,18,"Better than the U.S. National Benchmark"
190111,"Voluntary non-profit - Private",Yes,28.33,62,1.09,14,"Better than the U.S. National Benchmark"
190125,"Voluntary non-profit - Private",Yes,71.67,40,1.03,15,"Better than the U.S. National Benchmark"
190146,"Government - Hospital District or Authority",Yes,46.67,51,0.99,15,"Better than the U.S. National Benchmark"
190164,Proprietary,Yes,46,39,1.07,18,"Worse than the U.S. National Benchmark"
190167,Proprietary,Yes,33,62,1.11,18,"Worse than the U.S. National Benchmark"
260057,"Voluntary non-profit - Private",Yes,18,37,0.95,17,"Worse than the U.S. National Benchmark"
260061,"Government - Local",Yes,42.86,50,0.9,16,"Better than the U.S. National Benchmark"
260065,"Voluntary non-profit - Church",Yes,75.83,39,0.96,15,"Worse than the U.S. National Benchmark"
260091,"Voluntary non-profit - Private",Yes,77.5,38,0.98,17,"Better than the U.S. National Benchmark"
260096,"Government - Local",Yes,60.83,50,0.97,15,"Worse than the U.S. National Benchmark"
260105,Proprietary,Yes,65.83,40,1.03,18,"Better than the U.S. National Benchmark"
260108,"Voluntary non-profit - Private",Yes,78.33,19,0.97,16,"Better than the U.S. National Benchmark"
260119,Proprietary,Yes,35,20,0.94,18,"Better than the U.S. National Benchmark"
260141,"Government - State",Yes,58.33,34,0.97,16,"Better than the U.S. National Benchmark"
260179,"Voluntary non-profit - Private",Yes,65.83,61,0.96,15,"Better than the U.S. National Benchmark"
260210,Proprietary,Yes,29,8,1.09,17,"Better than the U.S. National Benchmark"
270003,"Voluntary non-profit - Private",Yes,68.18,38,0.86,15,"Better than the U.S. National Benchmark"
270004,"Voluntary non-profit - Private",Yes,63.33,45,0.94,14,"Worse than the U.S. National Benchmark"
270012,"Voluntary non-profit - Private",Yes,50,24,0.98,15,"Worse than the U.S. National Benchmark"
270049,"Voluntary non-profit - Church",Yes,66.67,43,0.94,15,"Better than the U.S. National Benchmark"
270051,"Voluntary non-profit - Private",Yes,51.67,27,0.93,14,"Better than the U.S. National Benchmark"
280003,"Voluntary non-profit - Private",Yes,43.33,60,1.02,14,"Better than the U.S. National Benchmark"
220088,"Voluntary non-profit - Private",No,68.89,71,1.02,13,"Better than the U.S. National Benchmark"
220090,"Voluntary non-profit - Other",Yes,59,54,1.04,18,"Worse than the U.S. National Benchmark"
220111,Proprietary,Yes,46.36,15,1.03,17,"Worse than the U.S. National Benchmark"
220135,"Voluntary non-profit - Private",Yes,77,43,0.98,15,"Worse than the U.S. National Benchmark"
220163,"Voluntary non-profit - Private",Yes,42.5,19,1.07,17,"Worse than the U.S. National Benchmark"
220176,Proprietary,Yes,61.67,40,1.01,18,"Better than the U.S. National Benchmark"
230013,Physician,Yes,45,23,1.05,16,"Better than the U.S. National Benchmark"
230019,"Voluntary non-profit - Church",Yes,65.83,19,0.97,17,"Better than the U.S. National Benchmark"
230020,Proprietary,Yes,25,24,1.04,17,"Worse than the U.S. National Benchmark"
230038,"Voluntary non-profit - Private",Yes,50,50,0.98,14,"Better than the U.S. National Benchmark"
230041,"Voluntary non-profit - Other",Yes,41.67,26,1.02,15,"Better than the U.S. National Benchmark"
230046,"Voluntary non-profit - Private",Yes,69.17,47,0.99,18,"Worse than the U.S. National Benchmark"
230054,"Government - Local",Yes,55,27,0.99,15,"Better than the U.S. National Benchmark"
230070,"Voluntary non-profit - Other",Yes,58.33,39,0.98,18,"Better than the U.S. National Benchmark"
230072,"Voluntary non-profit - Private",Yes,93.64,64,0.91,15,"Better than the U.S. National Benchmark"
230080,"Voluntary non-profit - Private",Yes,35,26,0.96,16,"Better than the U.S. National Benchmark"
230117,"Voluntary non-profit - Other",Yes,50,35,0.96,14,"Better than the U.S. National Benchmark"
230130,Proprietary,Yes,81.67,24,1.01,18,"Worse than the U.S. National Benchmark"
230132,"Voluntary non-profit - Other",Yes,20,25,0.99,16,"Better than the U.S. National Benchmark"
230141,"Voluntary non-profit - Private",Yes,47.5,35,0.97,16,"Better than the U.S. National Benchmark"
230165,"Voluntary non-profit - Church",Yes,67.5,19,1,19,"Better than the U.S. National Benchmark"
230236,"Voluntary non-profit - Private",Yes,56.36,62,0.94,15,"Better than the U.S. National Benchmark"
230239,"Voluntary non-profit - Private",Yes,23,70,0.9,15,"Worse than the U.S. National Benchmark"
230259,"Voluntary non-profit - Private",Yes,81,85,0.94,15,"Better than the U.S. National Benchmark"
240001,"Voluntary non-profit - Private",Yes,63.33,26,0.95,15,"Worse than the U.S. National Benchmark"
240004,"Government - Local",Yes,66.67,23,0.94,16,"Better than the U.S. National Benchmark"
240010,"Voluntary non-profit - Church",Yes,56.67,63,0.94,16,"Better than the U.S. National Benchmark"
240057,"Voluntary non-profit - Private",Yes,55,40,0.94,15,"Worse than the U.S. National Benchmark"
240063,"Voluntary non-profit - Private",Yes,49.17,68,0.93,15,"Better than the U.S. National Benchmark"
240078,"Voluntary non-profit - Other",Yes,72.5,49,0.98,14,"Worse than the U.S. National Benchmark"
240088,"Government - Local",Yes,47,58,0.96,16,"Better than the U.S. National Benchmark"
240106,"Voluntary non-profit - Private",Yes,61.67,30,0.96,16,"Better than the U.S. National Benchmark"
240115,"Voluntary non-profit - Private",Yes,66.67,46,0.92,16,"Worse than the U.S. National Benchmark"
240132,"Voluntary non-profit - Other",Yes,81,33,0.93,17,"Better than the U.S. National Benchmark"
240214,"Voluntary non-profit - Private",Yes,88,46,0.88,16,"Better than the U.S. National Benchmark"
250004,"Voluntary non-profit - Private",Yes,85.83,76,0.98,16,"Better than the U.S. National Benchmark"
250007,Proprietary,Yes,80,22,0.98,18,"Better than the U.S. National Benchmark"
250019,"Government - Local",Yes,41.67,31,1.02,16,"Better than the U.S. National Benchmark"
250031,Proprietary,Yes,79.17,33,1.06,17,"Better than the U.S. National Benchmark"
250034,"Voluntary non-profit - Private",Yes,71.54,30,0.96,16,"Better than the U.S. National Benchmark"
250040,"Government - Local",Yes,65,42,0.99,18,"Better than the U.S. National Benchmark"
250048,"Voluntary non-profit - Church",Yes,39.17,60,0.99,16,"Better than the U.S. National Benchmark"
250058,"Government - Local",Yes,31,32,0.91,16,"Better than the U.S. National Benchmark"
250078,"Government - Local",Yes,53.33,41,0.98,17,"Better than the U.S. National Benchmark"
250082,"Government - Local",Yes,23.64,38,1.04,17,"Better than the U.S. National Benchmark"
250094,"Voluntary non-profit - Private",Yes,80.83,63,0.99,18,"Better than the U.S. National Benchmark"
250097,"Government - Local",Yes,14.55,43,0.99,17,"Better than the U.S. National Benchmark"
250100,"Voluntary non-profit - Private",Yes,82.5,67,0.96,16,"Better than the U.S. National Benchmark"
250104,"Voluntary non-profit - Private",Yes,44.17,50,0.99,15,"Better than the U.S. National Benchmark"
250122,Proprietary,Yes,37,39,1.01,19,"Better than the U.S. National Benchmark"
250141,"Voluntary non-profit - Private",Yes,71.67,24,0.98,17,"Better than the U.S. National Benchmark"
260005,"Voluntary non-profit - Private",Yes,67.5,36,1.01,17,"Better than the U.S. National Benchmark"
260006,"Voluntary non-profit - Private",Yes,80.83,47,0.95,16,"Better than the U.S. National Benchmark"
260011,Proprietary,Yes,81.67,42,0.91,17,"Better than the U.S. National Benchmark"
260017,"Government - Local",Yes,59,40,0.95,14,"Better than the U.S. National Benchmark"
330080,"Government - Local",Yes,71,10,0.9,19,"Better than the U.S. National Benchmark"
330088,"Voluntary non-profit - Private",Yes,23.33,41,0.92,15,"Better than the U.S. National Benchmark"
330101,"Voluntary non-profit - Private",Yes,70,28,0.96,17,"Worse than the U.S. National Benchmark"
330102,"Voluntary non-profit - Church",Yes,71,29,1,15,"Worse than the U.S. National Benchmark"
330104,"Voluntary non-profit - Other",Yes,80,17,1.08,18,"Worse than the U.S. National Benchmark"
330107,"Voluntary non-profit - Private",Yes,22,20,0.99,17,"Worse than the U.S. National Benchmark"
330127,"Government - Local",Yes,49,10,0.94,18,"Better than the U.S. National Benchmark"
330128,"Government - Local",Yes,71.82,10,1.01,18,"Better than the U.S. National Benchmark"
330140,"Voluntary non-profit - Private",Yes,54.17,27,0.95,17,"Worse than the U.S. National Benchmark"
330141,"Voluntary non-profit - Private",Yes,25,16,1.1,19,"Worse than the U.S. National Benchmark"
330151,"Voluntary non-profit - Church",Yes,42,42,0.84,15,"Better than the U.S. National Benchmark"
330153,Proprietary,Yes,75.83,35,0.97,15,"Better than the U.S. National Benchmark"
330162,"Voluntary non-profit - Private",Yes,82,50,0.98,17,"Better than the U.S. National Benchmark"
330169,"Voluntary non-profit - Private",Yes,70.83,19,1.02,20,"Better than the U.S. National Benchmark"
330180,"Voluntary non-profit - Private",Yes,32.73,17,0.91,16,"Better than the U.S. National Benchmark"
330182,"Voluntary non-profit - Church",Yes,45,59,1,15,"Worse than the U.S. National Benchmark"
330185,"Voluntary non-profit - Private",Yes,58,47,1.03,16,"Worse than the U.S. National Benchmark"
330193,"Voluntary non-profit - Private",Yes,53,3,1.06,19,"Better than the U.S. National Benchmark"
330194,"Voluntary non-profit - Private",Yes,45.83,16,1,17,"Better than the U.S. National Benchmark"
330198,"Voluntary non-profit - Private",Yes,79.09,19,1.05,17,"Worse than the U.S. National Benchmark"
330199,"Government - Local",Yes,48,7,0.87,16,"Better than the U.S. National Benchmark"
330202,"Government - Local",Yes,39,8,0.87,20,"Better than the U.S. National Benchmark"
330204,"Government - Local",Yes,41.67,13,0.95,18,"Better than the U.S. National Benchmark"
330208,"Voluntary non-profit - Private",Yes,28,50,0.98,19,"Better than the U.S. National Benchmark"
330221,"Voluntary non-profit - Other",Yes,49,22,0.98,21,"Better than the U.S. National Benchmark"
280023,"Voluntary non-profit - Church",Yes,49,55,0.99,14,"Better than the U.S. National Benchmark"
280032,"Voluntary non-profit - Other",Yes,47,70,1.02,14,"Better than the U.S. National Benchmark"
280040,"Voluntary non-profit - Private",Yes,55,56,1.01,15,"Better than the U.S. National Benchmark"
280065,"Voluntary non-profit - Private",Yes,49.09,32,0.94,16,"Worse than the U.S. National Benchmark"
280081,"Voluntary non-profit - Private",Yes,89.09,56,1.05,17,"Better than the U.S. National Benchmark"
290003,Proprietary,Yes,74.17,10,1.13,18,"Worse than the U.S. National Benchmark"
290019,"Voluntary non-profit - Private",Yes,56.67,28,0.98,15,"Better than the U.S. National Benchmark"
290021,Proprietary,Yes,60.83,9,1.15,18,"Worse than the U.S. National Benchmark"
290022,Proprietary,Yes,61.67,16,1.17,17,"Worse than the U.S. National Benchmark"
290039,Proprietary,Yes,90,15,1.1,17,"Worse than the U.S. National Benchmark"
290041,Proprietary,Yes,52.5,18,1.12,16,"Worse than the U.S. National Benchmark"
290045,Proprietary,Yes,34.17,32,1.13,15,"Worse than the U.S. National Benchmark"
290054,"Voluntary non-profit - Private",Yes,40.91,12,1.1,17,"Better than the U.S. National Benchmark"
300001,"Voluntary non-profit - Private",Yes,69.17,64,1.01,16,"Better than the U.S. National Benchmark"
300003,"Voluntary non-profit - Other",Yes,35.83,37,1.03,15,"Better than the U.S. National Benchmark"
300019,"Voluntary non-profit - Private",Yes,66,48,0.99,15,"Better than the U.S. National Benchmark"
300023,"Voluntary non-profit - Private",Yes,54.55,84,1.01,16,"Worse than the U.S. National Benchmark"
310003,"Voluntary non-profit - Private",Yes,63,27,1.04,20,"Worse than the U.S. National Benchmark"
310005,"Voluntary non-profit - Private",Yes,64.55,40,1.03,15,"Worse than the U.S. National Benchmark"
310006,"Voluntary non-profit - Church",Yes,83.33,19,1.09,17,"Worse than the U.S. National Benchmark"
310008,"Voluntary non-profit - Other",Yes,57.27,23,1.09,16,"Worse than the U.S. National Benchmark"
310012,"Voluntary non-profit - Private",Yes,70,61,1.1,17,"Worse than the U.S. National Benchmark"
310016,"Voluntary non-profit - Church",Yes,41.82,27,1.13,18,"Better than the U.S. National Benchmark"
310027,"Voluntary non-profit - Private",Yes,54.55,18,1.16,18,"Better than the U.S. National Benchmark"
310028,"Voluntary non-profit - Private",Yes,56,16,1.01,16,"Worse than the U.S. National Benchmark"
310040,"Voluntary non-profit - Church",Yes,89,30,1.1,18,"Better than the U.S. National Benchmark"
310044,"Voluntary non-profit - Private",Yes,81,36,1.03,16,"Worse than the U.S. National Benchmark"
310045,"Voluntary non-profit - Private",Yes,62.5,25,1.07,17,"Worse than the U.S. National Benchmark"
310047,"Voluntary non-profit - Private",Yes,52,28,0.99,16,"Worse than the U.S. National Benchmark"
310070,"Voluntary non-profit - Church",Yes,85,42,1.04,17,"Better than the U.S. National Benchmark"
310073,"Voluntary non-profit - Private",Yes,55,34,1.08,15,"Better than the U.S. National Benchmark"
310075,"Voluntary non-profit - Private",Yes,50,36,1.12,15,"Better than the U.S. National Benchmark"
310076,"Voluntary non-profit - Other",Yes,60,17,1.08,15,"Worse than the U.S. National Benchmark"
310081,"Voluntary non-profit - Private",Yes,74.55,27,1.03,17,"Worse than the U.S. National Benchmark"
310084,"Voluntary non-profit - Private",Yes,96.36,32,1.13,18,"Worse than the U.S. National Benchmark"
310092,"Voluntary non-profit - Private",Yes,72,19,1.12,18,"Worse than the U.S. National Benchmark"
310108,"Voluntary non-profit - Private",Yes,65.45,34,1.18,18,"Worse than the U.S. National Benchmark"
310119,"Government - State",Yes,60,16,1.09,18,"Better than the U.S. National Benchmark"
320001,"Voluntary non-profit - Other",Yes,47.5,24,0.98,15,"Better than the U.S. National Benchmark"
320005,"Voluntary non-profit - Private",Yes,43.64,28,0.92,15,"Worse than the U.S. National Benchmark"
320009,"Voluntary non-profit - Private",Yes,40,12,1,14,"Worse than the U.S. National Benchmark"
320021,"Government - Hospital District or Authority",Yes,66.67,28,0.99,14,"Worse than the U.S. National Benchmark"
330005,"Voluntary non-profit - Private",Yes,34.17,17,0.96,16,"Worse than the U.S. National Benchmark"
330006,"Voluntary non-profit - Private",Yes,80,16,1,20,"Better than the U.S. National Benchmark"
330009,Proprietary,Yes,62.73,43,0.91,18,"Better than the U.S. National Benchmark"
330014,"Voluntary non-profit - Private",Yes,73.64,24,1.02,19,"Better than the U.S. National Benchmark"
330019,"Voluntary non-profit - Private",Yes,87,27,1.04,19,"Worse than the U.S. National Benchmark"
330023,"Voluntary non-profit - Other",Yes,70,38,1,18,"Worse than the U.S. National Benchmark"
330024,"Voluntary non-profit - Private",Yes,45.83,31,0.97,17,"Worse than the U.S. National Benchmark"
330027,"Government - State",Yes,79,9,1,20,"Better than the U.S. National Benchmark"
330028,"Voluntary non-profit - Private",Yes,55,14,1.05,19,"Better than the U.S. National Benchmark"
330044,"Voluntary non-profit - Private",Yes,45.45,10,0.99,17,"Worse than the U.S. National Benchmark"
330046,"Voluntary non-profit - Private",Yes,64.17,26,0.99,19,"Better than the U.S. National Benchmark"
330055,"Voluntary non-profit - Other",Yes,50,37,1.01,20,"Worse than the U.S. National Benchmark"
330059,"Voluntary non-profit - Private",Yes,18.33,32,0.97,19,"Worse than the U.S. National Benchmark"
330061,"Voluntary non-profit - Other",Yes,71,38,1.06,18,"Worse than the U.S. National Benchmark"
330067,"Voluntary non-profit - Private",Yes,92,24,1.04,18,"Better than the U.S. National Benchmark"
360123,"Voluntary non-profit - Private",Yes,55,21,1,15,"Better than the U.S. National Benchmark"
360133,"Voluntary non-profit - Other",Yes,65.83,34,1,16,"Better than the U.S. National Benchmark"
360134,"Voluntary non-profit - Church",Yes,62.5,56,0.98,15,"Better than the U.S. National Benchmark"
360137,"Voluntary non-profit - Private",Yes,59.17,45,1,18,"Worse than the U.S. National Benchmark"
360144,"Voluntary non-profit - Other",Yes,74,38,1.04,17,"Worse than the U.S. National Benchmark"
360174,"Voluntary non-profit - Private",Yes,75,49,1.03,16,"Better than the U.S. National Benchmark"
360180,"Voluntary non-profit - Private",Yes,39.17,63,0.98,18,"Worse than the U.S. National Benchmark"
360211,"Voluntary non-profit - Other",Yes,55.83,37,1.15,16,"Worse than the U.S. National Benchmark"
360230,"Voluntary non-profit - Private",Yes,60.83,37,1.01,17,"Worse than the U.S. National Benchmark"
360234,"Voluntary non-profit - Private",Yes,60,38,1.01,16,"Worse than the U.S. National Benchmark"
360348,"Voluntary non-profit - Private",Yes,52,77,1.03,15,"Better than the U.S. National Benchmark"
370001,Proprietary,Yes,51.67,12,0.98,16,"Better than the U.S. National Benchmark"
370008,"Government - Local",Yes,45,25,1,15,"Better than the U.S. National Benchmark"
370013,"Voluntary non-profit - Church",Yes,73,36,1.04,16,"Worse than the U.S. National Benchmark"
370014,Proprietary,Yes,38,19,0.96,19,"Worse than the U.S. National Benchmark"
370037,"Voluntary non-profit - Private",Yes,77.5,57,0.96,15,"Better than the U.S. National Benchmark"
330222,"Voluntary non-profit - Private",Yes,45,55,0.91,15,"Better than the U.S. National Benchmark"
330231,"Government - Local",Yes,55,9,0.92,18,"Better than the U.S. National Benchmark"
330233,"Voluntary non-profit - Private",Yes,55.45,5,1,18,"Better than the U.S. National Benchmark"
330234,"Government - Hospital District or Authority",Yes,34.17,8,1.1,18,"Better than the U.S. National Benchmark"
330236,"Voluntary non-profit - Private",Yes,50,13,1.01,19,"Better than the U.S. National Benchmark"
330240,"Government - Local",Yes,51,5,0.95,19,"Better than the U.S. National Benchmark"
330245,"Voluntary non-profit - Private",Yes,50.83,15,0.98,15,"Worse than the U.S. National Benchmark"
330259,"Voluntary non-profit - Church",Yes,57,30,1.08,17,"Worse than the U.S. National Benchmark"
330279,"Voluntary non-profit - Private",Yes,65.83,19,0.99,14,"Worse than the U.S. National Benchmark"
330286,"Voluntary non-profit - Church",Yes,63.64,19,1.06,17,"Worse than the U.S. National Benchmark"
330350,"Government - State",Yes,60,18,0.97,20,"Better than the U.S. National Benchmark"
330393,"Government - State",Yes,46.67,27,0.98,18,"Worse than the U.S. National Benchmark"
330396,"Government - Local",Yes,44,9,0.93,18,"Better than the U.S. National Benchmark"
330397,"Voluntary non-profit - Private",Yes,22.22,7,1.01,18,"Better than the U.S. National Benchmark"
330399,"Voluntary non-profit - Private",Yes,70,14,0.91,18,"Worse than the U.S. National Benchmark"
340002,"Voluntary non-profit - Private",Yes,76.67,78,0.99,14,"Better than the U.S. National Benchmark"
340008,"Voluntary non-profit - Private",Yes,56,79,0.87,17,"Better than the U.S. National Benchmark"
340037,"Government - Hospital District or Authority",Yes,23.33,63,0.95,15,"Better than the U.S. National Benchmark"
340040,"Voluntary non-profit - Private",Yes,76.67,60,0.96,18,"Better than the U.S. National Benchmark"
340047,"Voluntary non-profit - Private",Yes,63.33,43,0.97,17,"Worse than the U.S. National Benchmark"
340050,"Voluntary non-profit - Private",Yes,39.17,52,0.92,17,"Better than the U.S. National Benchmark"
340061,"Government - State",Yes,80,76,0.96,18,"Better than the U.S. National Benchmark"
340064,"Government - Local",Yes,56,52,0.97,17,"Better than the U.S. National Benchmark"
340071,"Voluntary non-profit - Private",Yes,51,43,0.92,17,"Worse than the U.S. National Benchmark"
340075,Proprietary,Yes,67,63,0.95,14,"Better than the U.S. National Benchmark"
340090,"Government - Hospital District or Authority",Yes,64,41,0.94,16,"Better than the U.S. National Benchmark"
340097,"Voluntary non-profit - Private",Yes,75,73,0.92,17,"Better than the U.S. National Benchmark"
340113,"Government - Hospital District or Authority",Yes,47.5,33,1,15,"Better than the U.S. National Benchmark"
340116,Proprietary,Yes,45,59,0.98,15,"Better than the U.S. National Benchmark"
340120,"Government - Local",Yes,85,42,0.85,16,"Better than the U.S. National Benchmark"
340131,"Government - Hospital District or Authority",Yes,45.83,62,0.9,16,"Better than the U.S. National Benchmark"
340133,"Government - Local",Yes,58.89,46,0.88,17,"Better than the U.S. National Benchmark"
340142,Proprietary,Yes,61,55,0.89,14,"Better than the U.S. National Benchmark"
340144,Proprietary,Yes,88,16,0.93,17,"Better than the U.S. National Benchmark"
340166,"Government - Hospital District or Authority",Yes,39,71,1,15,"Better than the U.S. National Benchmark"
340184,"Government - Hospital District or Authority",Yes,45,57,0.92,14,"Better than the U.S. National Benchmark"
350006,"Voluntary non-profit - Private",Yes,42.5,11,0.98,16,"Better than the U.S. National Benchmark"
350019,"Government - Local",Yes,41.67,24,0.95,17,"Better than the U.S. National Benchmark"
360001,"Voluntary non-profit - Church",Yes,76.67,45,0.98,18,"Worse than the U.S. National Benchmark"
360003,"Voluntary non-profit - Private",Yes,50,20,0.99,18,"Better than the U.S. National Benchmark"
360006,"Voluntary non-profit - Private",Yes,82.5,35,1,17,"Better than the U.S. National Benchmark"
360009,"Voluntary non-profit - Other",Yes,65,21,1.01,15,"Better than the U.S. National Benchmark"
360011,"Voluntary non-profit - Private",Yes,90,38,0.96,17,"Better than the U.S. National Benchmark"
360016,"Voluntary non-profit - Private",Yes,39.17,22,0.97,17,"Worse than the U.S. National Benchmark"
360020,"Voluntary non-profit - Private",Yes,62.5,22,1.04,16,"Better than the U.S. National Benchmark"
360025,"Voluntary non-profit - Private",Yes,90,41,1.09,15,"Better than the U.S. National Benchmark"
360026,"Voluntary non-profit - Private",Yes,63,18,0.98,16,"Better than the U.S. National Benchmark"
360036,"Government - Local",Yes,45,51,0.94,14,"Better than the U.S. National Benchmark"
360039,"Voluntary non-profit - Private",Yes,67.5,29,0.96,17,"Better than the U.S. National Benchmark"
360041,"Voluntary non-profit - Private",Yes,67.5,25,1.11,16,"Better than the U.S. National Benchmark"
360051,"Voluntary non-profit - Private",Yes,72.5,44,1.03,16,"Better than the U.S. National Benchmark"
360052,"Voluntary non-profit - Church",Yes,74.17,40,1.06,16,"Worse than the U.S. National Benchmark"
360059,"Voluntary non-profit - Other",Yes,42.5,23,1.01,17,"Better than the U.S. National Benchmark"
360064,"Voluntary non-profit - Church",Yes,55,32,1.08,17,"Better than the U.S. National Benchmark"
360074,"Voluntary non-profit - Private",Yes,39,43,1.04,15,"Better than the U.S. National Benchmark"
360075,Proprietary,Yes,61,60,1.1,17,"Worse than the U.S. National Benchmark"
360076,"Voluntary non-profit - Private",Yes,80,48,1.03,17,"Better than the U.S. National Benchmark"
360079,"Voluntary non-profit - Church",Yes,80.83,37,1.02,15,"Better than the U.S. National Benchmark"
360085,"Government - State",Yes,70.91,45,0.99,17,"Better than the U.S. National Benchmark"
360087,"Voluntary non-profit - Private",Yes,55,67,1.03,15,"Better than the U.S. National Benchmark"
360091,"Voluntary non-profit - Private",Yes,53,43,1.04,16,"Worse than the U.S. National Benchmark"
360112,"Voluntary non-profit - Church",Yes,65,40,1.03,17,"Better than the U.S. National Benchmark"
390219,"Voluntary non-profit - Other",Yes,56,57,1.08,16,"Better than the U.S. National Benchmark"
390222,"Voluntary non-profit - Private",Yes,71.82,42,0.98,16,"Worse than the U.S. National Benchmark"
390226,"Voluntary non-profit - Private",Yes,60,28,1.03,18,"Better than the U.S. National Benchmark"
390231,"Voluntary non-profit - Private",Yes,46.67,28,1.01,16,"Better than the U.S. National Benchmark"
390266,"Voluntary non-profit - Private",Yes,75,22,1.07,15,"Better than the U.S. National Benchmark"
390268,"Voluntary non-profit - Other",Yes,50,51,0.99,16,"Worse than the U.S. National Benchmark"
390290,Proprietary,Yes,50,42,1.02,17,"Worse than the U.S. National Benchmark"
410007,"Voluntary non-profit - Private",Yes,55,30,1.01,17,"Worse than the U.S. National Benchmark"
410009,"Voluntary non-profit - Private",Yes,31,25,1.04,18,"Worse than the U.S. National Benchmark"
410012,"Voluntary non-profit - Private",Yes,57.27,57,1.03,18,"Worse than the U.S. National Benchmark"
420002,Proprietary,Yes,46.67,43,1.06,16,"Worse than the U.S. National Benchmark"
420004,"Government - State",Yes,68.33,54,0.99,18,"Better than the U.S. National Benchmark"
420007,"Government - Local",Yes,65.83,55,0.96,14,"Better than the U.S. National Benchmark"
420010,Proprietary,Yes,41,39,0.97,17,"Better than the U.S. National Benchmark"
420018,"Voluntary non-profit - Private",Yes,50.83,62,1.01,15,"Better than the U.S. National Benchmark"
420033,"Voluntary non-profit - Private",Yes,82,84,0.97,15,"Better than the U.S. National Benchmark"
420038,"Government - Hospital District or Authority",Yes,40,21,1.03,16,"Worse than the U.S. National Benchmark"
420049,"Voluntary non-profit - Private",Yes,67,46,0.94,15,"Better than the U.S. National Benchmark"
420070,"Voluntary non-profit - Private",Yes,38,55,0.96,17,"Better than the U.S. National Benchmark"
370078,"Government - Local",Yes,40,14,0.98,16,"Better than the U.S. National Benchmark"
