hospital_name,state,measure_name,number_of_discharges,number_of_readmissions,excess_readmission_ratio,region_name
"ORLANDO HEALTH",FL,READM-30-PN-HRRP,985,190,1.0494,"South Region"
"FLORIDA HOSPITAL",FL,READM-30-AMI-HRRP,1209,282,1.2214,"South Region"
"FLORIDA HOSPITAL",FL,READM-30-HF-HRRP,3600,907,1.0953,"South Region"
"FLORIDA HOSPITAL",FL,READM-30-PN-HRRP,2280,453,1.0961,"South Region"
"BAPTIST HOSPITAL OF MIAMI INC",FL,READM-30-AMI-HRRP,454,71,0.906,"South Region"
"BAPTIST HOSPITAL OF MIAMI INC",FL,READM-30-HF-HRRP,1147,297,1.0645,"South Region"
"BAPTIST HOSPITAL OF MIAMI INC",FL,READM-30-PN-HRRP,761,123,0.9244,"South Region"
"UNIVERSITY OF MIAMI HOSPITAL",FL,READM-30-AMI-HRRP,195,51,1.1021,"South Region"
"UNIVERSITY OF MIAMI HOSPITAL",FL,READM-30-HF-HRRP,840,269,1.1736,"South Region"
"UNIVERSITY OF MIAMI HOSPITAL",FL,READM-30-PN-HRRP,259,73,1.1012,"South Region"
"LEE MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,633,112,1.0698,"South Region"
"LEE MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,1421,313,1.0037,"South Region"
"LEE MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,1051,159,0.9267,"South Region"
"BERT FISH MEDICAL CENTER",FL,READM-30-AMI-HRRP,145,29,1.0241,"South Region"
"BERT FISH MEDICAL CENTER",FL,READM-30-HF-HRRP,205,45,0.9812,"South Region"
"BERT FISH MEDICAL CENTER",FL,READM-30-PN-HRRP,164,27,0.9832,"South Region"
"HALIFAX HEALTH MEDICAL CENTER",FL,READM-30-AMI-HRRP,336,61,1.0485,"South Region"
"HALIFAX HEALTH MEDICAL CENTER",FL,READM-30-HF-HRRP,604,139,1.041,"South Region"
"HALIFAX HEALTH MEDICAL CENTER",FL,READM-30-PN-HRRP,555,96,0.9979,"South Region"
"NAPLES COMMUNITY HOSPITAL",FL,READM-30-AMI-HRRP,881,139,0.9326,"South Region"
"NAPLES COMMUNITY HOSPITAL",FL,READM-30-HF-HRRP,1889,375,0.9036,"South Region"
"NAPLES COMMUNITY HOSPITAL",FL,READM-30-PN-HRRP,1140,164,0.8875,"South Region"
"HOLMES REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,643,107,0.9598,"South Region"
"HOLMES REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,1223,307,1.0652,"South Region"
"HOLMES REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,779,144,1.0045,"South Region"
"JACKSON MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,242,61,1.1392,"South Region"
"JACKSON MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,618,192,1.2092,"South Region"
"JACKSON MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,371,80,1.0521,"South Region"
"CITRUS MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,577,85,0.882,"South Region"
"CITRUS MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,897,177,0.8908,"South Region"
"CITRUS MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,474,58,0.8207,"South Region"
"SACRED HEART HOSPITAL",FL,READM-30-AMI-HRRP,378,59,0.9404,"South Region"
"SACRED HEART HOSPITAL",FL,READM-30-HF-HRRP,752,158,0.9313,"South Region"
"SACRED HEART HOSPITAL",FL,READM-30-PN-HRRP,427,65,0.8908,"South Region"
"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM",FL,READM-30-AMI-HRRP,372,75,1.1213,"South Region"
"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM",FL,READM-30-HF-HRRP,1242,237,0.8456,"South Region"
"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM",FL,READM-30-PN-HRRP,624,84,0.8111,"South Region"
"PARRISH MEDICAL CENTER",FL,READM-30-AMI-HRRP,144,21,0.934,"South Region"
"PARRISH MEDICAL CENTER",FL,READM-30-HF-HRRP,458,99,0.9582,"South Region"
"PARRISH MEDICAL CENTER",FL,READM-30-PN-HRRP,353,52,0.911,"South Region"
"NORTH SHORE MEDICAL CENTER",FL,READM-30-AMI-HRRP,274,56,0.9736,"South Region"
"NORTH SHORE MEDICAL CENTER",FL,READM-30-HF-HRRP,567,169,1.1335,"South Region"
"NORTH SHORE MEDICAL CENTER",FL,READM-30-PN-HRRP,329,58,0.9405,"South Region"
"HEALTH CENTRAL",FL,READM-30-AMI-HRRP,83,13,0.9568,"South Region"
"HEALTH CENTRAL",FL,READM-30-HF-HRRP,401,108,1.0541,"South Region"
"HEALTH CENTRAL",FL,READM-30-PN-HRRP,232,49,1.0268,"South Region"
"BAYFRONT HEALTH - ST PETERSBURG",FL,READM-30-AMI-HRRP,156,32,1.0534,"South Region"
"BAYFRONT HEALTH - ST PETERSBURG",FL,READM-30-HF-HRRP,316,83,1.0806,"South Region"
"BAYFRONT HEALTH - ST PETERSBURG",FL,READM-30-PN-HRRP,314,69,1.1176,"South Region"
"MOUNT SINAI MEDICAL CENTER",FL,READM-30-AMI-HRRP,433,86,0.9465,"South Region"
"MOUNT SINAI MEDICAL CENTER",FL,READM-30-HF-HRRP,576,139,0.9713,"South Region"
"MOUNT SINAI MEDICAL CENTER",FL,READM-30-PN-HRRP,547,97,0.9006,"South Region"
"MANATEE MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,293,51,1.0319,"South Region"
"MANATEE MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,673,130,0.9078,"South Region"
"MANATEE MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,348,61,1.0012,"South Region"
"MEMORIAL REGIONAL HOSPITAL",FL,READM-30-AMI-HRRP,275,63,1.1024,"South Region"
"MEMORIAL REGIONAL HOSPITAL",FL,READM-30-HF-HRRP,802,228,1.1993,"South Region"
"MEMORIAL REGIONAL HOSPITAL",FL,READM-30-PN-HRRP,462,86,1.0239,"South Region"
"BROWARD HEALTH MEDICAL CENTER",FL,READM-30-AMI-HRRP,155,23,0.9692,"South Region"
"BROWARD HEALTH MEDICAL CENTER",FL,READM-30-HF-HRRP,269,58,0.9578,"South Region"
"BROWARD HEALTH MEDICAL CENTER",FL,READM-30-PN-HRRP,110,14,0.9285,"South Region"
"ST VINCENT'S MEDICAL CENTER",FL,READM-30-AMI-HRRP,515,92,1.0272,"South Region"
"ST VINCENT'S MEDICAL CENTER",FL,READM-30-HF-HRRP,1210,301,1.0722,"South Region"
"ST VINCENT'S MEDICAL CENTER",FL,READM-30-PN-HRRP,904,182,1.0933,"South Region"
"MEASE HOSPITAL DUNEDIN",FL,READM-30-HF-HRRP,208,40,0.9396,"South Region"
"MEASE HOSPITAL DUNEDIN",FL,READM-30-PN-HRRP,189,27,0.9411,"South Region"
"MARTIN MEDICAL CENTER",FL,READM-30-AMI-HRRP,476,76,0.9567,"South Region"
"MARTIN MEDICAL CENTER",FL,READM-30-HF-HRRP,1013,217,0.9584,"South Region"
"MARTIN MEDICAL CENTER",FL,READM-30-PN-HRRP,825,150,1.0417,"South Region"
"FLORIDA HOSPITAL DELAND",FL,READM-30-AMI-HRRP,112,18,0.9534,"South Region"
"FLORIDA HOSPITAL DELAND",FL,READM-30-HF-HRRP,402,91,1.0032,"South Region"
"FLORIDA HOSPITAL DELAND",FL,READM-30-PN-HRRP,277,54,1.0561,"South Region"
"FLORIDA HOSPITAL ZEPHYRHILLS",FL,READM-30-AMI-HRRP,262,51,1.0825,"South Region"
"FLORIDA HOSPITAL ZEPHYRHILLS",FL,READM-30-HF-HRRP,578,120,0.9218,"South Region"
"FLORIDA HOSPITAL ZEPHYRHILLS",FL,READM-30-PN-HRRP,262,34,0.8818,"South Region"
"BAYFRONT HEALTH PUNTA GORDA",FL,READM-30-AMI-HRRP,296,57,1.0487,"South Region"
"BAYFRONT HEALTH PUNTA GORDA",FL,READM-30-HF-HRRP,630,148,0.9927,"South Region"
"BAYFRONT HEALTH PUNTA GORDA",FL,READM-30-PN-HRRP,390,93,1.1698,"South Region"
"JAY HOSPITAL",FL,READM-30-HF-HRRP,85,20,1.003,"South Region"
"JAY HOSPITAL",FL,READM-30-PN-HRRP,142,26,1.0021,"South Region"
"HIGHLANDS REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,351,87,1.0241,"South Region"
"HIGHLANDS REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,239,66,1.225,"South Region"
"PALM SPRINGS GENERAL HOSPITAL",FL,READM-30-AMI-HRRP,105,28,0.9765,"South Region"
"PALM SPRINGS GENERAL HOSPITAL",FL,READM-30-HF-HRRP,361,121,1.1711,"South Region"
"PALM SPRINGS GENERAL HOSPITAL",FL,READM-30-PN-HRRP,361,93,1.1063,"South Region"
"SOUTH LAKE HOSPITAL",FL,READM-30-AMI-HRRP,120,21,0.9767,"South Region"
"SOUTH LAKE HOSPITAL",FL,READM-30-HF-HRRP,388,85,0.9436,"South Region"
"SOUTH LAKE HOSPITAL",FL,READM-30-PN-HRRP,329,62,1.0184,"South Region"
"WINTER HAVEN HOSPITAL",FL,READM-30-AMI-HRRP,474,76,0.9544,"South Region"
"WINTER HAVEN HOSPITAL",FL,READM-30-HF-HRRP,731,178,1.0733,"South Region"
"WINTER HAVEN HOSPITAL",FL,READM-30-PN-HRRP,579,98,1.0096,"South Region"
"HIALEAH HOSPITAL",FL,READM-30-AMI-HRRP,100,31,1.0563,"South Region"
"HIALEAH HOSPITAL",FL,READM-30-HF-HRRP,310,102,1.1633,"South Region"
"HIALEAH HOSPITAL",FL,READM-30-PN-HRRP,303,69,1.0615,"South Region"
"TWIN CITIES HOSPITAL",FL,READM-30-HF-HRRP,129,29,0.9705,"South Region"
"TWIN CITIES HOSPITAL",FL,READM-30-PN-HRRP,171,32,1.0169,"South Region"
"FLORIDA HOSPITAL NORTH PINELLAS",FL,READM-30-AMI-HRRP,143,26,0.9643,"South Region"
"FLORIDA HOSPITAL NORTH PINELLAS",FL,READM-30-HF-HRRP,260,69,1.0795,"South Region"
"FLORIDA HOSPITAL NORTH PINELLAS",FL,READM-30-PN-HRRP,195,34,0.9922,"South Region"
"FLORIDA HOSPITAL WATERMAN",FL,READM-30-AMI-HRRP,319,67,1.0738,"South Region"
"FLORIDA HOSPITAL WATERMAN",FL,READM-30-HF-HRRP,918,204,1.0027,"South Region"
"FLORIDA HOSPITAL WATERMAN",FL,READM-30-PN-HRRP,612,81,0.8477,"South Region"
"MUNROE REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,726,109,0.8594,"South Region"
"MUNROE REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,1334,289,0.9549,"South Region"
"MUNROE REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,1002,165,0.9223,"South Region"
"MORTON PLANT NORTH BAY HOSPITAL",FL,READM-30-AMI-HRRP,164,27,0.9303,"South Region"
"MORTON PLANT NORTH BAY HOSPITAL",FL,READM-30-HF-HRRP,244,61,1.026,"South Region"
"MORTON PLANT NORTH BAY HOSPITAL",FL,READM-30-PN-HRRP,159,26,0.9511,"South Region"
"ST ANTHONY'S HOSPITAL",FL,READM-30-AMI-HRRP,148,36,1.09,"South Region"
"ST ANTHONY'S HOSPITAL",FL,READM-30-HF-HRRP,403,98,1.0367,"South Region"
"ST ANTHONY'S HOSPITAL",FL,READM-30-PN-HRRP,274,46,0.9725,"South Region"
"FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,376,76,1.1065,"South Region"
"FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER",FL,READM-30-HF-HRRP,721,144,0.8991,"South Region"
"FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER",FL,READM-30-PN-HRRP,338,58,0.9845,"South Region"
"FLORIDA HOSPITAL CARROLLWOOD",FL,READM-30-HF-HRRP,88,17,0.943,"South Region"
"FLORIDA HOSPITAL CARROLLWOOD",FL,READM-30-PN-HRRP,104,15,0.9735,"South Region"
"VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH",FL,READM-30-AMI-HRRP,624,80,0.8361,"South Region"
"VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH",FL,READM-30-HF-HRRP,773,136,0.8333,"South Region"
"VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH",FL,READM-30-PN-HRRP,519,81,0.9636,"South Region"
"BAYFRONT HEALTH BROOKSVILLE",FL,READM-30-AMI-HRRP,132,33,1.1426,"South Region"
"BAYFRONT HEALTH BROOKSVILLE",FL,READM-30-HF-HRRP,433,106,1.0432,"South Region"
"BAYFRONT HEALTH BROOKSVILLE",FL,READM-30-PN-HRRP,316,56,1.009,"South Region"
"FLORIDA HOSPITAL FISH MEMORIAL",FL,READM-30-AMI-HRRP,80,19,1.0033,"South Region"
"FLORIDA HOSPITAL FISH MEMORIAL",FL,READM-30-HF-HRRP,590,154,1.0705,"South Region"
"FLORIDA HOSPITAL FISH MEMORIAL",FL,READM-30-PN-HRRP,342,75,1.0769,"South Region"
"HOLY CROSS HOSPITAL INC",FL,READM-30-AMI-HRRP,360,64,0.9858,"South Region"
"HOLY CROSS HOSPITAL INC",FL,READM-30-HF-HRRP,823,200,1.0299,"South Region"
"HOLY CROSS HOSPITAL INC",FL,READM-30-PN-HRRP,495,86,0.9755,"South Region"
"ST JOSEPH'S HOSPITAL",FL,READM-30-AMI-HRRP,442,71,0.9289,"South Region"
"ST JOSEPH'S HOSPITAL",FL,READM-30-HF-HRRP,951,272,1.1797,"South Region"
"ST JOSEPH'S HOSPITAL",FL,READM-30-PN-HRRP,670,126,1.0248,"South Region"
"METROPOLITAN HOSPITAL OF MIAMI",FL,READM-30-AMI-HRRP,49,15,1.0454,"South Region"
"METROPOLITAN HOSPITAL OF MIAMI",FL,READM-30-HF-HRRP,198,63,1.1095,"South Region"
"METROPOLITAN HOSPITAL OF MIAMI",FL,READM-30-PN-HRRP,142,29,1.0073,"South Region"
"BAYFRONT HEALTH PORT CHARLOTTE",FL,READM-30-AMI-HRRP,77,17,1.0094,"South Region"
"BAYFRONT HEALTH PORT CHARLOTTE",FL,READM-30-HF-HRRP,476,119,1.0227,"South Region"
"BAYFRONT HEALTH PORT CHARLOTTE",FL,READM-30-PN-HRRP,317,66,1.0416,"South Region"
"JFK MEDICAL CENTER",FL,READM-30-AMI-HRRP,582,114,1.0613,"South Region"
"JFK MEDICAL CENTER",FL,READM-30-HF-HRRP,1308,327,1.1013,"South Region"
"JFK MEDICAL CENTER",FL,READM-30-PN-HRRP,640,112,1.0109,"South Region"
"HEALTHMARK REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,106,16,0.8813,"South Region"
"HEALTHMARK REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,108,25,1.0391,"South Region"
"LEESBURG REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,609,119,1.064,"South Region"
"LEESBURG REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,1178,308,1.1142,"South Region"
"LEESBURG REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,638,123,1.0404,"South Region"
"BROWARD HEALTH NORTH",FL,READM-30-AMI-HRRP,99,21,0.9685,"South Region"
"BROWARD HEALTH NORTH",FL,READM-30-HF-HRRP,283,77,1.0973,"South Region"
"BROWARD HEALTH NORTH",FL,READM-30-PN-HRRP,162,31,1.0199,"South Region"
"SARASOTA MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,914,120,0.8121,"South Region"
"SARASOTA MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,1388,247,0.8051,"South Region"
"SARASOTA MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,811,110,0.8372,"South Region"
"BAPTIST MEDICAL CENTER",FL,READM-30-AMI-HRRP,453,70,0.9497,"South Region"
"BAPTIST MEDICAL CENTER",FL,READM-30-HF-HRRP,1160,267,0.9816,"South Region"
"BAPTIST MEDICAL CENTER",FL,READM-30-PN-HRRP,1113,204,1.0117,"South Region"
"FLAGLER HOSPITAL",FL,READM-30-AMI-HRRP,393,71,0.9884,"South Region"
"FLAGLER HOSPITAL",FL,READM-30-HF-HRRP,784,175,0.9398,"South Region"
"FLAGLER HOSPITAL",FL,READM-30-PN-HRRP,763,138,0.9814,"South Region"
"WUESTHOFF MEDICAL CENTER  ROCKLEDGE",FL,READM-30-AMI-HRRP,257,54,1.122,"South Region"
"WUESTHOFF MEDICAL CENTER  ROCKLEDGE",FL,READM-30-HF-HRRP,561,165,1.1997,"South Region"
"WUESTHOFF MEDICAL CENTER  ROCKLEDGE",FL,READM-30-PN-HRRP,394,57,0.9193,"South Region"
"BAPTIST HOSPITAL",FL,READM-30-AMI-HRRP,214,38,0.9966,"South Region"
"BAPTIST HOSPITAL",FL,READM-30-HF-HRRP,589,127,0.9258,"South Region"
"BAPTIST HOSPITAL",FL,READM-30-PN-HRRP,298,51,0.9626,"South Region"
"LAKE WALES MEDICAL CENTER",FL,READM-30-AMI-HRRP,58,16,1.0733,"South Region"
"LAKE WALES MEDICAL CENTER",FL,READM-30-HF-HRRP,415,102,1.0628,"South Region"
"LAKE WALES MEDICAL CENTER",FL,READM-30-PN-HRRP,163,32,1.0687,"South Region"
"SHANDS LAKE SHORE REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,52,15,1.0407,"South Region"
"SHANDS LAKE SHORE REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,205,47,0.9984,"South Region"
"SHANDS LAKE SHORE REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,152,35,1.1011,"South Region"
"INDIAN RIVER MEDICAL CENTER",FL,READM-30-AMI-HRRP,542,98,1.0289,"South Region"
"INDIAN RIVER MEDICAL CENTER",FL,READM-30-HF-HRRP,887,166,0.9125,"South Region"
"INDIAN RIVER MEDICAL CENTER",FL,READM-30-PN-HRRP,625,87,0.8888,"South Region"
"DOCTOR'S MEMORIAL HOSPITAL INC",FL,READM-30-HF-HRRP,68,14,0.9932,"South Region"
"DOCTOR'S MEMORIAL HOSPITAL INC",FL,READM-30-PN-HRRP,80,14,1.0244,"South Region"
"LEHIGH REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,41,13,1.0668,"South Region"
"LEHIGH REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,224,64,1.1128,"South Region"
"LEHIGH REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,170,44,1.1818,"South Region"
"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER",FL,READM-30-AMI-HRRP,400,78,1.0132,"South Region"
"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER",FL,READM-30-HF-HRRP,768,159,0.9132,"South Region"
"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER",FL,READM-30-PN-HRRP,461,103,1.104,"South Region"
"OSCEOLA REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,278,60,1.0929,"South Region"
"OSCEOLA REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,564,161,1.1126,"South Region"
"OSCEOLA REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,346,74,1.0912,"South Region"
"UF HEALTH SHANDS HOSPITAL",FL,READM-30-AMI-HRRP,311,55,0.99,"South Region"
"UF HEALTH SHANDS HOSPITAL",FL,READM-30-HF-HRRP,677,186,1.0974,"South Region"
"UF HEALTH SHANDS HOSPITAL",FL,READM-30-PN-HRRP,345,72,1.0572,"South Region"
"BAPTIST MEDICAL CENTER  BEACHES",FL,READM-30-HF-HRRP,287,79,1.1048,"South Region"
"BAPTIST MEDICAL CENTER  BEACHES",FL,READM-30-PN-HRRP,547,106,1.0808,"South Region"
"FLORIDA HOSPITAL FLAGLER",FL,READM-30-AMI-HRRP,164,37,1.0748,"South Region"
"FLORIDA HOSPITAL FLAGLER",FL,READM-30-HF-HRRP,398,88,0.9641,"South Region"
"FLORIDA HOSPITAL FLAGLER",FL,READM-30-PN-HRRP,263,38,0.9219,"South Region"
"BARTOW REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,134,44,1.1054,"South Region"
"BARTOW REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,200,34,0.9804,"South Region"
"NORTH OKALOOSA MEDICAL CENTER",FL,READM-30-AMI-HRRP,76,21,1.0694,"South Region"
"NORTH OKALOOSA MEDICAL CENTER",FL,READM-30-HF-HRRP,351,93,1.0395,"South Region"
"NORTH OKALOOSA MEDICAL CENTER",FL,READM-30-PN-HRRP,280,55,1.0329,"South Region"
"SANTA ROSA MEDICAL CENTER",FL,READM-30-HF-HRRP,113,25,0.9848,"South Region"
"SANTA ROSA MEDICAL CENTER",FL,READM-30-PN-HRRP,103,17,0.9915,"South Region"
"HOMESTEAD HOSPITAL",FL,READM-30-AMI-HRRP,37,13,1.0621,"South Region"
"HOMESTEAD HOSPITAL",FL,READM-30-HF-HRRP,173,55,1.1414,"South Region"
"HOMESTEAD HOSPITAL",FL,READM-30-PN-HRRP,217,39,1.0104,"South Region"
"PALMS OF PASADENA HOSPITAL",FL,READM-30-AMI-HRRP,58,14,1.025,"South Region"
"PALMS OF PASADENA HOSPITAL",FL,READM-30-HF-HRRP,292,71,1.0378,"South Region"
"PALMS OF PASADENA HOSPITAL",FL,READM-30-PN-HRRP,322,45,0.9138,"South Region"
"MORTON PLANT HOSPITAL",FL,READM-30-AMI-HRRP,591,103,0.9503,"South Region"
"MORTON PLANT HOSPITAL",FL,READM-30-HF-HRRP,901,182,0.8952,"South Region"
"MORTON PLANT HOSPITAL",FL,READM-30-PN-HRRP,579,95,0.9447,"South Region"
"TAMPA GENERAL HOSPITAL",FL,READM-30-AMI-HRRP,245,49,1.0305,"South Region"
"TAMPA GENERAL HOSPITAL",FL,READM-30-HF-HRRP,516,136,1.0397,"South Region"
"TAMPA GENERAL HOSPITAL",FL,READM-30-PN-HRRP,246,43,0.9594,"South Region"
"LAKESIDE MEDICAL CENTER",FL,READM-30-HF-HRRP,84,23,1.0177,"South Region"
"LAKESIDE MEDICAL CENTER",FL,READM-30-PN-HRRP,42,11,1.0523,"South Region"
"AVENTURA HOSPITAL AND MEDICAL CENTER",FL,READM-30-AMI-HRRP,424,98,1.0798,"South Region"
"AVENTURA HOSPITAL AND MEDICAL CENTER",FL,READM-30-HF-HRRP,798,210,1.0477,"South Region"
"AVENTURA HOSPITAL AND MEDICAL CENTER",FL,READM-30-PN-HRRP,485,104,1.0783,"South Region"
"SOUTH FLORIDA BAPTIST HOSPITAL",FL,READM-30-AMI-HRRP,77,18,1.0189,"South Region"
"SOUTH FLORIDA BAPTIST HOSPITAL",FL,READM-30-HF-HRRP,191,44,0.9984,"South Region"
"SOUTH FLORIDA BAPTIST HOSPITAL",FL,READM-30-PN-HRRP,243,49,1.0361,"South Region"
"TALLAHASSEE MEMORIAL HOSPITAL",FL,READM-30-AMI-HRRP,419,58,0.9138,"South Region"
"TALLAHASSEE MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,619,99,0.8236,"South Region"
"TALLAHASSEE MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,304,41,0.9408,"South Region"
"HEART OF FLORIDA REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,176,36,1.0616,"South Region"
"HEART OF FLORIDA REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,509,134,1.1072,"South Region"
"HEART OF FLORIDA REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,249,46,1.0451,"South Region"
"BAPTIST MEDICAL CENTER - NASSAU",FL,READM-30-HF-HRRP,120,15,0.8679,"South Region"
"BAPTIST MEDICAL CENTER - NASSAU",FL,READM-30-PN-HRRP,259,40,0.9703,"South Region"
"JACKSON HOSPITAL",FL,READM-30-HF-HRRP,220,47,0.9857,"South Region"
"JACKSON HOSPITAL",FL,READM-30-PN-HRRP,264,45,1.0238,"South Region"
"LOWER KEYS MEDICAL CENTER",FL,READM-30-HF-HRRP,122,34,1.0769,"South Region"
"LOWER KEYS MEDICAL CENTER",FL,READM-30-PN-HRRP,107,20,1.0496,"South Region"
"MAYO CLINIC",FL,READM-30-AMI-HRRP,156,22,0.915,"South Region"
"MAYO CLINIC",FL,READM-30-HF-HRRP,491,130,1.124,"South Region"
"MAYO CLINIC",FL,READM-30-PN-HRRP,395,75,1.0693,"South Region"
"SOUTH MIAMI HOSPITAL, INC",FL,READM-30-AMI-HRRP,176,28,0.9494,"South Region"
"SOUTH MIAMI HOSPITAL, INC",FL,READM-30-HF-HRRP,441,102,0.9791,"South Region"
"SOUTH MIAMI HOSPITAL, INC",FL,READM-30-PN-HRRP,228,31,0.9214,"South Region"
"LAKE CITY MEDICAL CENTER",FL,READM-30-AMI-HRRP,49,17,1.1209,"South Region"
"LAKE CITY MEDICAL CENTER",FL,READM-30-HF-HRRP,425,107,1.0095,"South Region"
"LAKE CITY MEDICAL CENTER",FL,READM-30-PN-HRRP,403,97,1.1757,"South Region"
"LAKELAND REGIONAL MEDICAL CENTER",FL,READM-30-AMI-HRRP,634,118,1.0505,"South Region"
"LAKELAND REGIONAL MEDICAL CENTER",FL,READM-30-HF-HRRP,1418,302,0.9907,"South Region"
"LAKELAND REGIONAL MEDICAL CENTER",FL,READM-30-PN-HRRP,883,135,0.9521,"South Region"
"CENTRAL FLORIDA REGIONAL HOSPITAL",FL,READM-30-AMI-HRRP,219,39,0.9987,"South Region"
"CENTRAL FLORIDA REGIONAL HOSPITAL",FL,READM-30-HF-HRRP,598,156,1.0874,"South Region"
"CENTRAL FLORIDA REGIONAL HOSPITAL",FL,READM-30-PN-HRRP,190,37,1.0416,"South Region"
"DOCTORS HOSPITAL OF SARASOTA",FL,READM-30-AMI-HRRP,112,16,0.923,"South Region"
"DOCTORS HOSPITAL OF SARASOTA",FL,READM-30-HF-HRRP,370,69,0.9043,"South Region"
"DOCTORS HOSPITAL OF SARASOTA",FL,READM-30-PN-HRRP,273,42,0.9628,"South Region"
"PLANTATION GENERAL HOSPITAL",FL,READM-30-AMI-HRRP,83,18,1.0242,"South Region"
"PLANTATION GENERAL HOSPITAL",FL,READM-30-HF-HRRP,219,58,1.03,"South Region"
"PLANTATION GENERAL HOSPITAL",FL,READM-30-PN-HRRP,139,23,0.9654,"South Region"
"BOCA RATON REGIONAL HOSPITAL",FL,READM-30-AMI-HRRP,505,95,0.9799,"South Region"
"BOCA RATON REGIONAL HOSPITAL",FL,READM-30-HF-HRRP,1446,270,0.8347,"South Region"
"BOCA RATON REGIONAL HOSPITAL",FL,READM-30-PN-HRRP,951,131,0.843,"South Region"
"FLORIDA HOSPITAL TAMPA",FL,READM-30-AMI-HRRP,320,57,0.9903,"South Region"
"FLORIDA HOSPITAL TAMPA",FL,READM-30-HF-HRRP,686,156,0.9827,"South Region"
"FLORIDA HOSPITAL TAMPA",FL,READM-30-PN-HRRP,430,96,1.1528,"South Region"
"DESOTO MEMORIAL HOSPITAL",FL,READM-30-HF-HRRP,153,40,1.058,"South Region"
"DESOTO MEMORIAL HOSPITAL",FL,READM-30-PN-HRRP,192,47,1.1567,"South Region"
"PALM BEACH GARDENS MEDICAL CENTER",FL,READM-30-AMI-HRRP,546,100,1.018,"South Region"
"PALM BEACH GARDENS MEDICAL CENTER",FL,READM-30-HF-HRRP,701,153,0.9577,"South Region"
"PALM BEACH GARDENS MEDICAL CENTER",FL,READM-30-PN-HRRP,377,64,0.9709,"South Region"
"CAPE CANAVERAL HOSPITAL",FL,READM-30-AMI-HRRP,103,13,0.9109,"South Region"
